Date Canada NewfoundlandAndLabrador PrinceEdwardIsland NovaScotia NewBrunswick Quebec Ontario Manitoba Saskatchewan Alberta BritishColumbia
Jan-10 8.8 17.9 12.7 11.0 10.4 9.1 9.2 5.7 5.1 7.0 8.6
Feb-10 8.6 16.9 12.6 10.6 9.4 8.9 9.1 5.9 4.7 7.1 8.0
Mar-10 8.9 18.4 13.3 10.0 9.6 9.2 9.6 5.5 5.6 7.5 7.9
Apr-10 8.5 18.4 12.5 9.6 10.0 8.9 8.9 5.3 5.7 7.6 7.6
May-10 8.4 14.5 9.6 9.1 9.9 8.0 9.3 5.7 5.3 7.0 7.9
Jun-10 7.5 12.7 8.5 8.2 7.9 7.0 8.2 5.1 5.2 6.3 7.6
Jul-10 8.3 13.3 9.6 9.5 8.8 7.9 9.3 5.9 5.5 6.8 7.8
Aug-10 8.8 13.7 9.5 9.9 9.4 8.4 9.9 6.8 5.8 7.0 8.1
Sep-10 7.5 11.3 10.7 8.5 8.3 7.1 8.5 5.0 4.9 5.8 7.1
Oct-10 7.2 11.9 11.1 8.9 8.3 7.1 7.7 4.3 5.3 6.0 7.0
Nov-10 7.1 13.7 13.6 9.6 9.2 7.4 7.5 4.7 5.0 5.4 6.4
Dec-10 7.1 14.5 13.8 10.2 9.1 7.2 7.3 5.1 4.9 5.4 6.8
Jan-11 8.2 14.2 14.5 11.0 10.5 8.7 8.3 5.4 5.6 6.2 8.5
Feb-11 8.0 13.8 13.4 10.7 10.8 8.4 8.0 5.6 5.7 5.8 9.1
Mar-11 8.3 14.6 13.3 10.3 11.1 8.7 8.6 6.0 5.4 5.6 8.4
Apr-11 8.0 13.6 14.8 10.1 11.5 8.7 8.0 5.6 5.5 6.1 7.9
May-11 7.6 12.1 9.7 8.7 9.5 7.4 8.4 5.4 4.8 5.4 7.4
Jun-11 7.1 10.9 7.7 7.9 8.5 7.2 7.8 5.2 4.3 5.1 7.0
Jul-11 7.6 11.0 9.7 9.3 9.9 7.1 8.3 6.3 5.4 5.9 7.7
Aug-11 7.9 12.9 8.9 8.8 8.8 7.9 8.3 6.6 5.5 6.2 8
Sep-11 6.8 11.1 8.6 7.7 7.6 6.8 7.4 5.2 3.9 5.0 6.6
Oct-11 6.8 11.3 9.2 8.1 8.3 7.2 7.4 4.8 3.9 4.8 6.3
Nov-11 7.1 12.6 11.7 8.6 9.0 7.9 7.3 5.1 4.5 4.7 6.7
Dec-11 6.9 13.0 12.0 7.3 8.8 8.6 6.7 5.1 4.3 4.5 6.6
Jan-12 8.0 14.9 15.8 9.6 10.7 9.5 8.2 5.7 5.0 5.1 7.4
Feb-12 7.8 13.8 13.2 9.2 11.1 9.0 7.7 5.8 5.4 5.3 7.4
Mar-12 7.8 14.0 13.1 9.7 11.5 8.7 8.1 5.4 5.2 5.2 7.3
Apr-12 7.5 13.5 14.2 10.1 10.8 8.5 7.8 5.3 5.3 4.7 6.6
May-12 7.5 12.1 9.8 9.1 9.8 7.5 8.6 5.0 4.4 4.5 7.3
Jun-12 6.8 11.1 8.3 8.6 7.9 6.8 7.6 4.8 4.3 4.4 6.5
Jul-12 7.5 11.4 8.9 9.1 10.1 7.0 8.7 6.1 5.3 4.6 7.0
Aug-12 7.7 12.6 9.5 9.7 10.4 7.7 8.6 6.8 5.4 4.9 7.0
Sep-12 6.6 10.7 8.7 8.1 9.5 6.8 7.4 4.8 4.0 4.1 6.4
Oct-12 6.8 10.5 9.9 8.7 10.0 6.8 7.8 4.9 4.0 4.0 6.2
Nov-12 6.8 12.2 11.8 8.7 10.8 7.3 7.1 4.6 4.2 4.0 6.6
Dec-12 6.7 11.2 11.5 9.0 10.0 7.4 7.0 4.6 4.5 4.2 6.4
Jan-13 7.5 13.5 14.7 10.8 12.8 8.3 7.8 4.7 4.1 4.6 7.2
Feb-13 7.4 12.9 13.4 10.3 11.6 8.1 7.8 5.2 3.9 4.7 6.7
Mar-13 7.8 13.8 14.2 10.4 12.2 8.6 8.2 5.0 4.1 4.9 7.2
Apr-13 7.4 13.7 14.0 10.0 11.9 8.3 7.7 5.7 4.5 4.5 6.4
May-13 7.2 11.7 10.7 8.7 10.5 7.4 7.8 5.4 4.4 4.7 6.8
Jun-13 6.7 10.0 8.0 8.1 9.1 7.2 7.3 4.8 3.6 4.8 6.1
Jul-13 7.4 10.7 10.1 8.4 9.4 7.5 8.4 6.2 4.7 4.7 6.7
Aug-13 7.6 10.8 8.8 9.0 9.9 8.0 8.3 6.6 5.1 5.3 7.0
Sep-13 6.4 8.7 9.4 7.7 8.4 6.7 7.0 5.2 3.8 3.9 6.2
Oct-13 6.4 10.0 9.5 8.3 8.8 6.7 6.9 5.1 3.3 4.2 6.2
Nov-13 6.5 12.2 13.1 8.3 9.4 6.7 6.7 5.4 3.9 4.3 6.4
Dec-13 6.7 11.2 13.3 8.7 9.7 7.4 7.1 5.2 3.6 4.5 6.2
Jan-14 7.4 14.6 14.2 10.1 11.4 8.5 7.5 5.6 4.7 4.7 6.9
Feb-14 7.4 13.0 13.3 9.9 10.9 8.9 7.5 5.6 4.1 4.3 6.7
Mar-14 7.4 12.8 13.8 10.2 10.9 8.7 7.6 5.6 4.8 5.2 5.9
Apr-14 7.3 13.6 14.4 10.0 12.3 8.4 7.3 5.9 3.9 5.3 5.9
May-14 7.2 12.6 11.3 9.1 10.7 7.8 7.7 5.4 4.0 4.9 6.4
Jun-14 6.7 10.4 6.1 8.3 8.1 7.3 7.4 4.7 3.3 4.6 5.8
Jul-14 7.3 10.7 7.8 9.3 9.7 7.7 8.3 5.8 3.6 4.7 6.2
Aug-14 7.5 12.3 7.3 8.7 9.1 7.8 8.1 6.6 5.2 5.7 6.5
Sep-14 6.3 10.4 7.8 7.4 8.2 6.7 6.8 5.2 2.9 4.2 6.1
Oct-14 6.0 10.8 7.7 7.9 8.9 6.7 6.2 4.6 3.0 4.1 5.8
Nov-14 6.2 11.0 11.5 8.6 9.7 7.2 6.4 4.7 3.2 4.0 5.5
Dec-14 6.2 11.3 12.9 7.8 9.7 7.2 6.5 4.9 3.4 4.5 4.9
Jan-15 7.0 13.5 13.2 9.4 11.5 8.1 6.9 6.0 4.9 4.6 6.0
Feb-15 7.2 13.9 12.2 9.9 11.6 8.0 7.0 5.5 5.5 5.8 6.6
Mar-15 7.4 15.6 13.6 10.1 11.6 8.3 7.3 5.4 4.9 6.2 6.3
Apr-15 7.1 14.7 13.7 10.1 11.6 8.1 6.8 5.6 4.8 6.0 6.2
May-15 7.1 13.9 10.3 8.8 10.2 7.6 6.9 5.8 5.3 6.2 6.4
Jun-15 6.5 10.7 7.1 7.0 9.5 7.5 6.4 4.9 4.2 5.6 5.6
Jul-15 7.1 10.5 9.6 7.8 10.8 7.5 7.1 6.4 5.4 6.3 6.2
Aug-15 7.5 11.0 8.5 8.5 9.8 8.2 7.6 7.1 6.0 6.6 6.3
Sep-15 6.4 11.5 7.1 7.8 7.1 6.7 6.5 4.9 4.4 5.9 6.2
Oct-15 6.3 11.6 8.3 6.9 7.7 6.8 6.2 4.8 4.9 6.0 6.0
