When,AgeGroup,Sex,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
01/01/1976,15 years and over,Females,5.2,9.7,8.1,5.2,11.4,11.5,8.3,8.1,10.8,8.9,4.3
01/01/1976,15 to 24 years,Males,8,15.3,13.2,11.9,17.2,19.2,14.5,11.6,21.4,15.9,7.9
01/01/1976,15 years and over,Males,3.8,7.8,6.4,5.8,11.1,12.6,7.6,5.2,9.3,7.7,3.5
01/01/1976,15 to 24 years,Females,8.3,12.9,11.2,9.6,15.1,16.5,14,10.1,14.9,12.6,6.9
01/01/1976,15 to 24 years,Both sexes,8.1,14.2,12.3,10.8,16.3,18.1,14.3,10.9,18.2,14.4,7.6
01/01/1976,15 years and over,Both sexes,4.3,8.5,7.1,5.6,11.2,12.3,7.9,6.4,9.9,8.1,3.8
02/01/1976,15 years and over,Both sexes,3.7,8.4,7,4.9,10.9,12.7,7.9,6.1,10.9,8.7,4.1
02/01/1976,15 to 24 years,Both sexes,6.8,13.7,12.2,7.1,16.9,18.6,13.8,10.7,20.3,15.4,8.5
02/01/1976,15 to 24 years,Females,6.9,12.3,11.4,6.7,14.3,16.4,13.6,10.8,15.9,13.4,8.2
02/01/1976,15 years and over,Males,3.4,7.6,6.4,5,10.7,13.2,7.5,4.9,11.4,8.2,3.8
02/01/1976,15 to 24 years,Males,6.8,14.9,12.9,7.4,19.1,20.1,13.9,10.6,23.8,16.9,8.8
02/01/1976,15 years and over,Females,4.3,9.6,8.1,4.8,11.2,11.8,8.4,7.8,10,9.6,4.8
03/01/1976,15 years and over,Females,4.4,9.3,7.6,2.9,11.1,12.1,8.2,7.6,9.7,8.4,5.1
03/01/1976,15 to 24 years,Males,7.8,15.7,12.6,9,16.5,20.6,14.6,11.2,13.9,14.9,6.2
03/01/1976,15 years and over,Males,3.4,7.6,6.1,5.3,10.2,12.3,7.3,4.9,7.9,7.5,2.8
03/01/1976,15 to 24 years,Females,8,12.6,11,3.9,14,18.3,13.2,10.9,11.8,12,8.9
03/01/1976,15 to 24 years,Both sexes,7.9,14.3,11.9,6.7,15.4,19.5,14.1,11.1,12.9,13.6,7.3
03/01/1976,15 years and over,Both sexes,3.8,8.2,6.7,4.4,10.5,12.3,7.6,6,8.6,7.8,3.6
04/01/1976,15 years and over,Both sexes,3.5,8.8,6.8,4,10.3,13.4,8.2,5.9,8.7,8.4,3.5
04/01/1976,15 to 24 years,Both sexes,6.3,15,11.9,7.7,15.5,20.3,14.8,10.3,14.4,14.9,6
04/01/1976,15 to 24 years,Females,5.6,14.4,11.1,5.4,14.9,18.2,11.9,10.2,12.9,13.1,8.8
04/01/1976,15 years and over,Males,3.4,7.9,6.1,4.2,10.2,12.8,8.2,4.7,8.8,8,2.2
04/01/1976,15 to 24 years,Males,6.9,15.6,12.6,9.5,15.9,21.7,17,10.4,15.6,16.5,3.6
04/01/1976,15 years and over,Females,3.6,10.2,8,3.8,10.7,14.8,8.1,7.7,8.6,9.2,5.7
05/01/1976,15 years and over,Females,5.5,10.6,8.1,4.5,11.2,14,9.6,7.3,10.2,9.2,5.7
05/01/1976,15 to 24 years,Males,6.4,16.5,12.8,9.3,17.9,21.9,18.4,11.4,13.9,15.4,4.8
05/01/1976,15 years and over,Males,3.4,8,6.2,4.4,10.8,13,8,4.9,7.8,7.7,2.2
05/01/1976,15 to 24 years,Females,8.6,15.4,11.2,4.8,15.6,14,13.8,9.5,14.5,13.2,8.6
05/01/1976,15 to 24 years,Both sexes,7.4,16,12.1,7.3,16.8,18.6,16.4,10.5,13.5,14.4,6.4
05/01/1976,15 years and over,Both sexes,4.2,9,6.9,4.4,10.9,13.3,8.6,5.8,8.7,8.2,3.5
06/01/1976,15 years and over,Both sexes,3.8,8.6,6.9,4.4,11,12.9,9.6,5.8,9.7,8.4,4
06/01/1976,15 to 24 years,Both sexes,7.2,15.1,12.2,8.2,17.3,19.8,17.1,10.5,15.6,14.9,6.9
06/01/1976,15 to 24 years,Females,7.8,14,11,5.2,18.1,14.7,14.2,9.9,13.3,12.7,6.4
06/01/1976,15 years and over,Males,3.4,7.9,6.3,4.7,10.1,13,9.4,4.9,8.9,8,3.3
06/01/1976,15 to 24 years,Males,6.7,16.1,13.2,10.7,16.5,24,19.1,11,18.5,16.7,7.3
06/01/1976,15 years and over,Females,4.5,9.6,7.8,3.9,12.5,13.1,9.8,7.3,11,9,5.4
07/01/1976,15 years and over,Females,4.5,10.5,8.5,5,11.7,14,10.4,8,13.3,9.8,7
07/01/1976,15 to 24 years,Males,7.4,15.5,14.2,10.4,16.7,24.5,20.7,12.1,20.3,18.5,6.6
07/01/1976,15 years and over,Males,3.1,7.9,6.7,4.4,10.1,14.7,9.4,5.6,9.5,8.5,3
